Artist,Track
100 PROOF AGED IN SOUL,EVERYTHING GOOD IS BAD
101 BE,ROCK TO THE BEAT
10CC,24 HOURS
112,ONLY YOU
113,LES PRINCES DE LA VILLE
2 UNLIMITED,HERE I GO
5 STAR,WHENEVER YOURE READY
50 CENT,21 QUESTIONS
ACE,HOW LONG
ADELE,HOMETOWN GLORY
ALICE COOPER,POISON
ALICIA KEYS,EMPIRE STATE OF MIND
ALISHA,BABY TALK
ARIANA GRANDE,SIDE TO SIDE
ATHLETE,WIRES
AVA MAX,SO AM I
BADDIEL SKINNER LIGHTNING SEEDS,THREE LIONS
BEATLES,HEY JUDE
BILLY HENDRIX,BODY SHINE
BILLY IDOL,DONT NEED A GUN
BLOC PARTY,FLUX
BOEF,HABIBA
BOYZ II MEN,4 SEASONS OF LONELINESS
BRAND NEW HEAVIES,MIDNIGHT AT THE OASIS
CAPTAIN,BROKE
CELINE DION,TREAT HER LIKE A LADY
CHICAGO,BABY WHAT A BIG SURPRISE
CHRIS REA,DRIVING HOME FOR CHRISTMAS
CHRISTINA AGUILERA,FIGHTER
CHUPITO,AMERICAN PIE
CLOUSEAU,EN DANS
COLLEGE,A REAL HERO
CORRS,LONG NIGHT
CREED,HIGHER
DAVE,FUNKY FRIDAY
DAVID GUETTA,BABY WHEN THE LIGHT
DEAD OR ALIVE,ID DO ANYTHING
DENNIS YOST,STORMY
DIANA ROSS,CHAIN REACTION
DIRE STRAITS,MONEY FOR NOTHING
DJ FLEX,READY
DJ FRESH,GOLD DUST
DONNAS,FALL BEHIND ME
DRAKE,CLUB PARADISE
EAST 17,LET IT RAIN
EKO FRESH,EK IS BACK
ELVIS PRESLEY,JAILHOUSE ROCK
EMINEM,WITHOUT ME
ENRICO,WATER VERVE
ETTA JAMES,LOSERS WEEPERS PART I
EVE,LET ME BLOW YA MIND
FALL OUT BOY,DANCE DANCE
FEEDER,PUSHING THE SENSES
FERGIE,BIG GIRLS DONT CRY
FILTER,HEY MAN NICE SHOT
FOXY,GET OFF
FRENCH AFFAIR,MY HEART GOES BOOM LA DI DA DA
FULL HOUSE,STANDING ON THE INSIDE
FUTURE,X
GALLEON,I BELIEVE
GARY GLITTER,HOUSE OF THE RISING SUN
GARY NUMAN,WE TAKE MYSTERY TO BED
GEORGE MICHAEL,MONKEY
GERRY AND THE PACEMAKERS,FERRY CROSS THE MERSEY
GINO VANNELLI,WILD HORSES
GLORIA ESTEFAN,COMING OUT OF THE DARK
GOLDEN EARRING,CLEAR NIGHT MOONLIGHT
GORILLAZ,FEEL GOOD INC
GREEN DAY,MINORITY
GUN,RACE WITH THE DEVIL
GYRL,GET YOUR GROOVE ON FROM BAPS
HADDAWAY,LIFE EVERYBODY NEEDS SOMEBODY TO LOVE
HAPPY MONDAYS,STEP ON
HEART,DREAMBOAT ANNIE
HERB ALPERT,DIAMONDS
HERMAN VAN KEEKEN,KOM MAAR DICHT BIJ MIJ
HOLLOWAYS,GENERATOR
HOT CHOCOLATE,MINDLESS BOOGIE
HOZIER,TAKE ME TO CHURCH
IAN VAN DAHL,TRY
ILONA MITRECEY,DANS MA FUSEE
IMAGINE DRAGONS,MONSTER
IREEN SHEER,HEUT ABEND HAB ICH KOPFWEH
IRON MAIDEN,RUNNING FREE
J HUS,MUST BE
JACK PENATE,TORN ON THE PLATFORM
JACKSONS,STATE OF SHOCK
JAMES ARTHUR,GET DOWN
JAMES BROWN,THERE IT IS
JAMIROQUAI,CORNER OF THE EARTH
JANET JACKSON,FEEDBACK
JAX JONES BEBE REXHA,HARDER
JENIFER,JE DANSE
JESSE MCCARTNEY,LEAVIN
JIMMIE RODGERS,CHILD OF CLAY
JODY REYNOLDS,FIRE OF LOVE
JOHN SPENCER,BYE BYE BLONDIE
JOHNNY LION,SOPHIETJE
JOJO,LEAVE GET OUT
JORJA SMITH,BLUE LIGHTS
JOURNEY,SUZANNE
JUJU,VERMISSEN
JUL,WESH ALORS
JULIAN COPE,WORLD SHUT YOUR MOUTH 1992
JUNO REACTOR,PISTOLERO
JUSTIN BIEBER,HOLD TIGHT
KANE BROWN,USED TO LOVE YOU SOBER
KANYE WEST,YE VS THE PEOPLE
KATE BUSH,MOMENTS OF PLEASURE
KATE RYAN,VOYAGE VOYAGE
KATE WINSLET,WHAT IF
KATJA EBSTEIN,THEATER
KEISHA WHITE,THE WEAKNESS IN ME
KELLY CLARKSON,LOW
KELLY ROWLAND,FOREVER AND A DAY
KENNY THOMAS,BEST OF YOU
KID ROCK,FIRST KISS
KINGS OF LEON,CALIFORNIA WAITING
KITSCHKRIEG,AUA OH OH GRINGO IST SAUER
KOD,CHACUN SA ROUTE
KRIS,DIESE TAGE
KRIS ALLEN,FALLING SLOWLY
KYGO,HIGHER LOVE
KYLIE MINOGUE,BETTER THAN TODAY
L5,TOUTES LES FEMMES DE TA VIE
LA FOUINE,JAVAIS PAS LES MOTS
LADY GAGA,DANCE IN THE DARK
LARUSSO,JE SURVIVRAI
LAZYB,UNDERWEAR GOES INSIDE THE PANTS
LEILA K,OPEN SESAME
LEO SAYER,LIVING IN A FANTASY
LEONA LEWIS,ONE MORE SLEEP
LEWIS CAPALDI,BEFORE YOU GO
LIL DURK,THE VOICE
LILAC TIME,AMERICAN EYES
LIME,BABE WERE GONNA LOVE TONITE
LINER,YOU AND ME
LINKIN PARK,WAITING FOR THE END
LL COOL J,FATHER
LONGVIEW,WHEN YOU SLEEP
LOSTPROPHETS,ROOFTOPS A LIBERATION BROADCAST
LUCIANO DE,MIOS MIT BARS
LUMINAIRE,FLOWER DUET
LUSCIOUS JACKSON,NAKED EYE
M83,MIDNIGHT CITY
MADONNA,LIVE TO TELL
MADRUGADA,LIFT ME
MAGIC BOX,CARILLON
MANDY SMITH,A VICTIM OF PLEASURE
MARC ALMOND,A LOVER SPURNED
MARCO BORSATO,SENTO
MARIAH,THANK GOD I FOUND YOU
MARILLION,HOOKS IN YOU
MARILYN MANSON,THE NOBODIES
MARK RONSON,VALERIE
MARTIN SOLVEIG,REJECTION
MASKINEN,KROSSA ALLA FONSTER
MASSIVE ATTACK,TEARDROP
MAXX,I CAN MAKE YOU FEEL LIKE
MC SOLAAR,LE RABBI MUFFIN
MEAT LOAF,ROCK AND ROLL DREAMS COME THROUGH
MEMBERS OF MAYDAY,10IN01
METALLICA,MOTH INTO FLAME
MICHAEL BOLTON,STEEL BARS
MICHAEL JACKSON,BEAT IT
MICHAEL WATFORD,SO INTO YOU
MICHELLE GAYLE,DO YOU KNOW
MIDGE URE,NO REGRETS
MIKE CANDYS,BRING BACK THE LOVE
MIKE OLDFIELD,ISLANDS
MILEY CYRUS,CANT BE TAMED
MILK INC,WIDE AWAKE
MIRANDA LAMBERT,THE HOUSE THAT BUILT ME
MISTY OLDLAND,I WROTE YOU A SONG
MN8,HAPPY
MOBY,I FEEL IT
MONDO ROCK,PRIMITIVE LOVE RITES
MORGAN WALLEN,MORE THAN MY HOMETOWN
MR PRESIDENT,TAKE ME TO THE LIMIT
MUSE,THE 2ND LAW UNSUSTAINABLE
NACASH,ELLE IMAGINE
NAS,STREET DREAMS
NATALIE COLE,IVE GOT LOVE ON MY MIND
NAUGHTY BY NATURE,CRAZIEST
NEIL YOUNG,LONG MAY YOU RUN LIVE
NELLY,JUST A DREAM
NELLY FURTADO,IM LIKE A BIRD
NEW ORDER,60 MILES AN HOUR
NEWTON FAULKNER,DREAM CATCH ME
NICKELBACK,HOW YOU REMIND ME
NICO SANTOS,ROOFTOP
NINA NESBITT,WAY IN THE WORLD
NIRVANA,SMELLS LIKE TEEN SPIRIT
NOEL GALLAGHERS HIGH FLYING,RIVERMAN
NORAH JONES,SUNRISE
NORMAAL,T WURD TIED DAT WIJ WEER ES GOAT DANSEN
NUSH,U GIRLS
OASIS,SOME MIGHT SAY
OCEAN COLOUR SCENE,TRAVELLERS TUNE
OLIVIA RUIZ,PARIS
OMAR,OUTSIDE
ONE NIGHT ONLY,ITS ABOUT TIME
ONEREPUBLIC,APOLOGIZE
OTIS REDDING,SITTIN ON THE DOCK OF THE BAY
OUTKAST,HEY YA
OWL CITY,FIREFLIES
PANDORA,ONE OF A KIND
PATTI AUSTIN,EVERY HOME SHOULD HAVE ONE
PAUL KOULAK,FORT BOYARD
PAUL MCCARTNEY,TUG OF WAR
PAUL WELLER,SUNFLOWER
PEARL JAM,DAUGHTER
PET SHOP BOYS,CAN YOU FORGIVE HER
PETER ANDRE,KISS THE GIRL
PETER SCHAAP,VLIEGEN ALS EEN VOGEL
PHIL BARNEY,IL EST PARTI
PHIL COLLINS,WHO SAID I WOULD
PIET VEERMAN,WHEN YOU WALK IN THE ROOM
PITBULL,TIMBER
PLACEBO,TOO MANY FRIENDS
PLASTIC BOY,TWIXT
PLEASURE GAME,LE SEIGNEUR DES TENEBRES
POCO LOCO GANG,POCO LOCO
POINTER SISTERS,IM SO EXCITED
POISON,SOMETHING TO BELIEVE IN
PREZIOSO,LET ME STAY
PRIMAL SCREAM,AUTOBAHN 66
PRINCE ITAL JOE,UNITED
PROCLAIMERS,IM GONNA BE 500 MILES
PRODIGY,OUT OF SPACE
PUBLIC ENEMY,WELCOME TO THE TERRORDOME
PULP,SOMETHING CHANGED
QUEEN,TOO MUCH LOVE WILL KILL YOU
QUEENS OF THE STONE AGE,MAKE IT WIT CHU
RADIOHEAD,NO SURPRISES
RANK 1,AWAKENING
RAY CHARLES,GEORGIA ON MY MIND
REAL PEOPLE,ROLLING STONE
RED HOT CHILI PEPPERS,SCAR TISSUE
RENE FROGER,JUST SAY HELLO
REX GILDO,LASS MICH DICH NOCH EINMAL SPURN
RICHARD ASHCROFT,BUY IT IN BOTTLES
RICKY MARTIN,SHE BANGS
RIHANNA,RUDE BOY
RITA ORA,ONLY WANT YOU
RMB,BREAK THE SILENCE
ROB ZOMBIE,DRAGULA
ROBBIE WILLIAMS,CANDY
ROBERT DOWNEY JR,SMILE
ROBERT MILES,CHILDREN
